"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=bigint(20); 流水號"
"name","VARCHAR(65533)","source_type=varchar(20); 名稱"
"url","VARCHAR(1048576)","source_type=text; 網址"
"param","VARCHAR(1048576)","source_type=text; 參數"
"status","VARCHAR(65533)","source_type=int(11); 0:待處理 1:處理中 2:完成"
"addtime","VARCHAR(65533)","source_type=datetime; "
"updatetime","VARCHAR(65533)","source_type=datetime; "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
