"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); id"
"permissionid","VARCHAR(65533)","source_type=int(11); t_permission id"
"status","VARCHAR(65533)","source_type=int(11); 0:禁用;1啟用"
"lv1","VARCHAR(65533)","source_type=bit(1); "
"lv2","VARCHAR(65533)","source_type=bit(1); "
"lv3","VARCHAR(65533)","source_type=bit(1); "
"lv4","VARCHAR(65533)","source_type=bit(1); "
"lv5","VARCHAR(65533)","source_type=bit(1); "
"lastmodifytime","VARCHAR(65533)","source_type=timestamp; 最後修改時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
